storm_id,storm_name,rows,year,landfall_date,wind_speed_at_landfall,strict_landfall_date,strict_wind_speed_at_landfall,is_hurricane,max_wind_speed,has_any_landfall,has_strict_landfall,has_liberal_landfall
AL011966,ALMA,41,1966,1966-06-09 18:00:00,75.0,1966-06-09 18:00:00,75.0,True,100,True,True,True
AL091966,INEZ,88,1966,1966-10-04 18:00:00,85.0,1966-10-04 18:00:00,85.0,True,140,True,True,True
AL121966,UNNAMED,20,1966,1966-07-01 18:00:00,40.0,0,0.0,False,40,True,False,False
AL011968,ABBY,52,1968,1968-06-04 12:00:00,55.0,0,0.0,True,65,True,False,True
AL021968,BRENDA,35,1968,1968-06-18 06:00:00,25.0,0,0.0,True,70,True,False,True
AL051968,DOLLY,28,1968,1968-08-10 06:00:00,30.0,0,0.0,True,75,True,False,True
AL061968,UNNAMED,22,1968,1968-08-29 12:00:00,25.0,0,0.0,False,25,True,False,False
AL131968,UNNAMED,11,1968,1968-09-27 00:00:00,30.0,0,0.0,False,30,True,False,False
AL141968,GLADYS,36,1968,1968-10-19 04:00:00,85.0,1968-10-19 04:00:00,85.0,True,85,True,True,True
AL191969,UNNAMED,17,1969,1969-09-21 12:00:00,30.0,0,0.0,False,30,True,False,False
AL231969,UNNAMED,16,1969,1969-10-01 12:00:00,45.0,0,0.0,False,50,True,False,False
AL241969,JENNY,16,1969,1969-10-02 18:00:00,40.0,0,0.0,False,40,True,False,False
AL011970,ALMA,38,1970,1970-05-25 00:00:00,30.0,0,0.0,True,65,True,False,True
AL021970,BECKY,20,1970,1970-07-22 06:00:00,45.0,0,0.0,False,55,True,False,False
AL131970,FELICE,33,1970,1970-09-13 12:00:00,25.0,0,0.0,False,60,True,False,False
AL161970,GRETA,34,1970,1970-09-27 18:00:00,35.0,0,0.0,False,40,True,False,False
AL071971,UNNAMED,17,1971,1971-08-13 06:00:00,25.0,0,0.0,False,25,True,False,False
AL101971,UNNAMED,17,1971,1971-08-30 00:00:00,25.0,0,0.0,False,25,True,False,False
AL201971,UNNAMED,33,1971,1971-10-14 06:00:00,25.0,0,0.0,False,25,True,False,False
AL021972,AGNES,35,1972,1972-06-19 18:00:00,65.0,1972-06-19 18:00:00,65.0,True,75,True,True,True
AL131972,DAWN,39,1972,1972-09-05 12:00:00,30.0,0,0.0,True,70,True,False,True
AL131973,UNNAMED,9,1973,1973-09-26 00:00:00,25.0,0,0.0,False,25,True,False,False
AL021974,UNNAMED,6,1974,1974-06-25 06:00:00,45.0,0,0.0,False,55,True,False,False
AL131975,ELOISE,47,1975,1975-09-23 12:00:00,110.0,1975-09-23 12:00:00,110.0,True,110,True,True,True
AL011976,UNNAMED,18,1976,1976-05-23 18:00:00,40.0,0,0.0,False,45,True,False,False
AL081976,DOTTIE,15,1976,1976-08-19 12:00:00,35.0,0,0.0,False,45,True,False,False
AL091979,DAVID,55,1979,1979-09-03 12:00:00,85.0,1979-09-03 12:00:00,85.0,True,150,True,True,True
AL011980,UNNAMED,17,1980,1980-07-18 06:00:00,25.0,0,0.0,False,25,True,False,False
AL171980,UNNAMED,25,1980,1980-11-18 00:00:00,25.0,0,0.0,False,30,True,False,False
AL071981,UNNAMED,8,1981,1981-07-02 12:00:00,25.0,0,0.0,False,30,True,False,False
AL101981,DENNIS,60,1981,1981-08-16 18:00:00,35.0,0,0.0,True,70,True,False,True
AL021982,UNNAMED,12,1982,1982-06-18 12:00:00,40.0,0,0.0,False,60,True,False,False
AL041983,BARRY,26,1983,1983-08-25 06:00:00,40.0,0,0.0,True,70,True,False,True
AL011984,UNNAMED,11,1984,1984-06-13 18:00:00,25.0,0,0.0,False,30,True,False,False
AL151984,ISIDORE,25,1984,1984-09-27 12:00:00,50.0,0,0.0,False,50,True,False,False
AL171984,UNNAMED,12,1984,1984-10-26 12:00:00,30.0,0,0.0,False,30,True,False,False
AL021985,BOB,21,1985,1985-07-23 12:00:00,40.0,0,0.0,True,65,True,False,True
AL111985,ISABEL,36,1985,1985-10-10 21:00:00,35.0,0,0.0,False,60,True,False,False
AL131985,KATE,34,1985,1985-11-21 18:00:00,85.0,1985-11-21 18:00:00,85.0,True,105,True,True,True
AL031987,UNNAMED,32,1987,1987-08-15 12:00:00,15.0,0,0.0,False,40,True,False,False
AL131987,FLOYD,21,1987,1987-10-12 12:00:00,65.0,1987-10-12 12:00:00,65.0,True,65,True,True,True
AL141987,UNNAMED,17,1987,1987-11-04 12:00:00,20.0,0,0.0,False,30,True,False,False
AL121988,KEITH,39,1988,1988-11-23 07:00:00,55.0,0,0.0,False,65,True,False,False
AL141988,UNNAMED,7,1988,1988-08-14 06:00:00,30.0,0,0.0,False,30,True,False,False
AL151990,MARCO,17,1990,1990-10-12 00:00:00,30.0,0,0.0,False,55,True,False,False
AL011991,ANA,25,1991,1991-06-30 00:00:00,20.0,0,0.0,False,45,True,False,False
AL041992,ANDREW,52,1992,1992-08-24 06:00:00,130.0,1992-08-24 06:00:00,130.0,True,150,True,True,True
AL011994,ALBERTO,32,1994,1994-07-03 12:00:00,55.0,0,0.0,False,55,True,False,False
AL031994,BERYL,20,1994,1994-08-16 00:00:00,50.0,0,0.0,False,50,True,False,False
AL121994,GORDON,59,1994,1994-11-15 12:00:00,45.0,0,0.0,True,75,True,False,True
AL011995,ALLISON,35,1995,1995-06-05 12:00:00,60.0,0,0.0,True,65,True,False,True
AL051995,ERIN,30,1995,1995-08-02 00:00:00,75.0,1995-08-02 00:00:00,75.0,True,85,True,True,True
AL111995,JERRY,22,1995,1995-08-23 12:00:00,35.0,0,0.0,False,35,True,False,False
AL171995,OPAL,39,1995,1995-10-04 22:00:00,100.0,1995-10-04 22:00:00,100.0,True,130,True,True,True
AL101996,JOSEPHINE,47,1996,1996-10-08 03:30:00,60.0,0,0.0,False,60,True,False,False
AL051998,EARL,33,1998,1998-09-03 00:00:00,80.0,1998-09-03 00:00:00,80.0,True,85,True,True,True
AL071998,GEORGES,71,1998,1998-09-25 15:30:00,90.0,1998-09-25 15:30:00,90.0,True,135,True,True,True
AL131998,MITCH,78,1998,1998-11-05 11:00:00,55.0,0,0.0,True,155,True,False,True
AL101999,HARVEY,14,1999,1999-09-21 12:00:00,50.0,0,0.0,False,50,True,False,False
AL131999,IRENE,34,1999,1999-10-15 12:00:00,65.0,1999-10-15 12:00:00,65.0,True,95,True,True,True
AL112000,GORDON,29,2000,2000-09-18 03:00:00,55.0,0,0.0,True,70,True,False,True
AL122000,HELENE,42,2000,2000-09-22 06:00:00,50.0,0,0.0,False,60,True,False,False
AL032001,BARRY,25,2001,2001-08-06 00:00:00,60.0,0,0.0,False,60,True,False,False
AL082001,GABRIELLE,41,2001,2001-09-14 12:00:00,60.0,0,0.0,True,70,True,False,True
AL052002,EDOUARD,21,2002,2002-09-05 00:00:00,35.0,0,0.0,False,55,True,False,False
AL122003,HENRI,22,2003,2003-09-06 06:00:00,30.0,0,0.0,False,50,True,False,False
AL022004,BONNIE,44,2004,2004-08-12 14:00:00,40.0,0,0.0,False,55,True,False,False
AL032004,CHARLEY,30,2004,2004-08-13 18:00:00,125.0,2004-08-13 18:00:00,125.0,True,130,True,True,True
AL062004,FRANCES,75,2004,2004-09-05 00:00:00,95.0,2004-09-05 00:00:00,95.0,True,125,True,True,True
AL092004,IVAN,94,2004,2004-09-21 00:00:00,25.0,0,0.0,True,145,True,False,True
AL112004,JEANNE,69,2004,2004-09-26 00:00:00,105.0,2004-09-26 00:00:00,105.0,True,105,True,True,True
AL012005,ARLENE,26,2005,2005-06-11 18:00:00,50.0,0,0.0,False,60,True,False,False
AL042005,DENNIS,59,2005,2005-07-10 18:00:00,110.0,2005-07-10 18:00:00,110.0,True,130,True,True,True
AL122005,KATRINA,34,2005,2005-08-25 22:30:00,70.0,2005-08-25 22:30:00,70.0,True,150,True,True,True
AL222005,TAMMY,9,2005,2005-10-05 18:00:00,45.0,0,0.0,False,45,True,False,False
AL252005,WILMA,48,2005,2005-10-24 06:00:00,110.0,2005-10-24 06:00:00,110.0,True,160,True,True,True
AL012006,ALBERTO,38,2006,2006-06-13 16:30:00,40.0,0,0.0,False,60,True,False,False
AL062006,ERNESTO,47,2006,2006-08-30 03:00:00,40.0,0,0.0,True,65,True,False,True
AL022007,BARRY,24,2007,2007-06-02 12:00:00,40.0,0,0.0,False,50,True,False,False
AL102007,TEN,4,2007,2007-09-21 18:00:00,30.0,0,0.0,False,30,True,False,False
AL062008,FAY,60,2008,2008-08-18 20:30:00,50.0,0,0.0,False,60,True,False,False
AL042009,CLAUDETTE,8,2009,2009-08-17 00:00:00,45.0,0,0.0,False,50,True,False,False
AL032010,BONNIE,18,2010,2010-07-23 14:30:00,35.0,0,0.0,False,40,True,False,False
AL022012,BERYL,33,2012,2012-05-28 00:00:00,60.0,0,0.0,False,60,True,False,False
AL042012,DEBBY,18,2012,2012-06-26 21:00:00,35.0,0,0.0,False,55,True,False,False
AL012013,ANDREA,14,2013,2013-06-06 22:00:00,50.0,0,0.0,False,55,True,False,False
AL032016,COLIN,15,2016,2016-06-07 02:00:00,45.0,0,0.0,False,50,True,False,False
AL092016,HERMINE,47,2016,2016-09-02 00:00:00,70.0,2016-09-02 00:00:00,70.0,True,70,True,True,True
AL112016,JULIA,33,2016,2016-09-13 06:00:00,30.0,0,0.0,False,45,True,False,False
AL062017,EMILY,11,2017,2017-07-31 12:00:00,45.0,0,0.0,False,50,True,False,False
AL112017,IRMA,66,2017,2017-09-10 12:00:00,115.0,2017-09-10 12:00:00,115.0,True,155,True,True,True
AL012018,ALBERTO,26,2018,2018-05-28 18:00:00,45.0,0,0.0,False,55,True,False,False
AL072018,GORDON,25,2018,2018-09-03 11:15:00,45.0,0,0.0,False,60,True,False,False
AL142018,MICHAEL,38,2018,2018-10-10 12:00:00,125.0,2018-10-10 12:00:00,125.0,True,140,True,True,True
AL162019,NESTOR,15,2019,2019-10-19 12:00:00,40.0,0,0.0,False,50,True,False,False
AL062020,FAY,27,2020,2020-07-06 06:00:00,30.0,0,0.0,False,50,True,False,False
AL192020,SALLY,28,2020,2020-09-12 06:00:00,30.0,0,0.0,True,95,True,False,True
AL292020,ETA,58,2020,2020-11-09 00:00:00,55.0,0,0.0,True,130,True,False,True
AL052021,ELSA,43,2021,2021-07-07 12:00:00,55.0,0,0.0,True,75,True,False,True
AL062021,FRED,45,2021,2021-08-16 19:00:00,55.0,0,0.0,False,55,True,False,False
AL132021,MINDY,10,2021,2021-09-09 00:00:00,45.0,0,0.0,False,50,True,False,False
AL012022,ALEX,17,2022,2022-06-04 12:00:00,35.0,0,0.0,False,60,True,False,False
AL092022,IAN,40,2022,2022-09-28 18:00:00,135.0,2022-09-28 18:00:00,135.0,True,140,True,True,True
AL172022,NICOLE,26,2022,2022-11-10 07:45:00,65.0,2022-11-10 07:45:00,65.0,True,65,True,True,True
AL102023,IDALIA,54,2023,2023-08-30 09:00:00,115.0,2023-08-30 09:00:00,115.0,True,115,True,True,True
AL042024,DEBBY,35,2024,2024-08-05 11:00:00,70.0,2024-08-05 11:00:00,70.0,True,70,True,True,True
AL092024,HELENE,25,2024,2024-09-27 00:00:00,120.0,2024-09-27 00:00:00,120.0,True,120,True,True,True
AL142024,MILTON,34,2024,2024-10-10 00:00:00,105.0,2024-10-10 00:00:00,105.0,True,155,True,True,True
